이미지,상품명,가격,컬러
https://static.zara.net/assets/public/b18c/996e/9688482f8790/2f60826018b9/02142137104-p/02142137104-p.jpg?ts=1779983414154,반소매 니트 탑,"₩ 49,900",스트라이프
https://static.zara.net/assets/public/c998/4980/fc4c414a8cd5/5659bd03377b/16822810800-e1/16822810800-e1.jpg?ts=1779807987221,롱 숄더백,"₩ 49,900",블랙
https://static.zara.net/assets/public/d713/f72a/9825446595c9/77b9f3467089/08372244250-p/08372244250-p.jpg?ts=1778835430968,벨티드 플리츠 버뮤다 팬츠,"₩ 55,900",화이트
https://static.zara.net/assets/public/faba/499e/d1e441fe96d2/2499f4d42531/04174315818-e1/04174315818-e1.jpg?ts=1768491236279,브이넥 티셔츠,"₩ 19,900",납
https://static.zara.net/assets/public/35ba/e6e3/ffdf45229253/291748050748/03641157803-a3/03641157803-a3.jpg?ts=1772715248416,페이크 더블 숏 슬리브 티셔츠,"₩ 21,900",그레이
https://static.zara.net/assets/public/f025/4c1d/5a654268b5d6/d5a7b1d7465c/02142132712-p/02142132712-p.jpg?ts=1777017209230,버튼 니트 스웨터,"₩ 59,900",크림
https://static.zara.net/assets/public/2e4e/cadb/f6c64f8cbfa7/6a8bbfe69cbe/12800810800-e1/12800810800-e1.jpg?ts=1778758087739,뮬 힐 샌들,"₩ 79,900",블랙
https://static.zara.net/assets/public/9d13/5d0b/d4d547a4b35b/71fc283169ea/03075117707-a3/03075117707-a3.jpg?ts=1780054539828,벨트 미디 스커트,"₩ 79,900",샌드
https://static.zara.net/assets/public/c9d8/7581/2380438fb9bf/adfc0f33441f/12750810600-e2/12750810600-e2.jpg?ts=1779984387200,카라멜 런던 X 자라 레더 발레리나 플랫슈즈,"₩ 89,900",레드
https://static.zara.net/assets/public/7560/248b/24ed46a599bd/f00fcf71ac71/05029150712-e1/05029150712-e1.jpg?ts=1778753480639,크로셰 콤비 탑,"₩ 59,900",크림
https://static.zara.net/assets/public/e49e/9d89/8a104f60a413/e5961be2e96f/08372231710-p/08372231710-p.jpg?ts=1778828846354,와이드 슬리브 크롭 셔츠,"₩ 55,900",베이지
https://static.zara.net/assets/public/6eb3/dbc5/bbe84fba8d3f/86b1822e06bd/01510909072-p/01510909072-p.jpg?ts=1779966945416,100% 리넨 팬츠 CREATED BY CARAMEL LONDON X ZARA,"₩ 99,900",아이보리-화이트
https://static.zara.net/assets/public/f1db/a4e8/4dcb4a41a7d5/fd5fff0cc1c5/02142256250-p/02142256250-p.jpg?ts=1779809687752,포인텔 니트 탑,"₩ 45,900",화이트
https://static.zara.net/assets/public/e2fb/be7b/a6c3442cbcb1/b1b78237f3a0/04387023716-a3/04387023716-a3.jpg?ts=1779794650576,루즈핏 스트레이트 팬츠,"₩ 49,900",다크 브라운
https://static.zara.net/assets/public/59ed/012e/ecb1431bbd9c/ed0d710cd721/05216075406-015-p/05216075406-015-p.jpg?ts=1775057260880,레더 플랫 샌들,"₩ 79,900",레드
https://static.zara.net/assets/public/6b72/abbb/654a4ec89b60/647fcfc5fd4c/04174229712-000-p/04174229712-000-p.jpg?ts=1776875222878,파인 니트 브이넥 스웨터,"₩ 55,900",블랙
https://static.zara.net/assets/public/8736/37c7/654c49a7bb37/9008662d63ea/06688015400-p/06688015400-p.jpg?ts=1779286624542,TRF 미드라이즈 롤업 웨이스트 청바지,"₩ 79,900",블루
https://static.zara.net/assets/public/ca05/6dd2/839546349c0f/053cf5430c5a/05644315625-000-p/05644315625-000-p.jpg?ts=1774020385651,레이스 콤비 탑 재킷,"₩ 39,900",그레이 로즈
https://static.zara.net/assets/public/6be2/5a61/23dd458eaac5/c8f50464eff4/08648023712-a2/08648023712-a2.jpg?ts=1770653354781,스트라이프 셔츠 ZW 컬렉션,"₩ 59,900",크림
https://static.zara.net/assets/public/cceb/3abd/919743e080ec/a43cb38218fa/03646012250-a3/03646012250-a3.jpg?ts=1779205305762,포인텔 니트 재킷,"₩ 55,900",화이트
https://static.zara.net/assets/public/8499/afde/c5c3421b94c1/6de26a512677/08228021427-p/08228021427-p.jpg?ts=1774439536383,JEANS Z1975 하이웨이스트 스트레이트 롱 기장,"₩ 57,900",미디움 블루
https://static.zara.net/assets/public/2eb3/ed61/599f40339bff/0556663abc84/15510710800-p/15510710800-p.jpg?ts=1774437335948,플랫폼 샌들,"₩ 49,900",블랙
https://static.zara.net/assets/public/5f04/a080/e031410cbb8f/f0b3ba97c8ea/01058302811-p/01058302811-p.jpg?ts=1776412628782,러프 라운드넥 티셔츠,"₩ 35,900",라이트 그레이
https://static.zara.net/assets/public/4760/462c/875c4192a64a/fee4c490219e/04387066756-a2/04387066756-a2.jpg?ts=1778849861464,벨티드 큐롯 팬츠,"₩ 57,900",미디움 카멜
https://static.zara.net/assets/public/164e/4734/51d146efbd61/82db02509b32/04174179401-p/04174179401-p.jpg?ts=1774871351358,리브드 반소매 티셔츠,"₩ 21,900",네이비
https://static.zara.net/assets/public/bffb/2c61/86dd4005ab82/6d0fd74e0a42/03564105061-a1/03564105061-a1.jpg?ts=1779372747761,프릴 깅엄 체크 탑,"₩ 55,900",화이트 / 레드
https://static.zara.net/assets/public/9a61/b1b1/d5ed46b6a9ea/60732fcea717/02756050621-p/02756050621-p.jpg?ts=1780043396131,파인 니트 재킷,"₩ 55,900",파스텔 로즈
https://static.zara.net/assets/public/c489/0e27/afa04e298fc9/62dec1e0e35d/06236022712-p/06236022712-p.jpg?ts=1779438367663,믹스 소재 로맨틱 재킷,"₩ 59,900",크림
https://static.zara.net/assets/public/fad4/2551/e58e41a59230/63a0385e84a7/06050080807-a1/06050080807-a1.jpg?ts=1778144256463,워싱 이펙트 SEX & THE CITY™ 티셔츠,"₩ 39,900",콜 그레이
https://static.zara.net/assets/public/0bcf/6e41/20244dcf9e07/50aa7e26ffdd/02560209251-a3/02560209251-a3.jpg?ts=1777448354638,ZW 컬렉션 플루이드 콤비 스커트,"₩ 89,900",스크래치 화이트
https://static.zara.net/assets/public/9a74/e9fb/8a884bc584cb/4a8c8ecb21af/01934042406-p/01934042406-p.jpg?ts=1778768450798,하이웨이스트 와이드 레그 크롭 벨트 진,"₩ 79,900",라이트 블루
https://static.zara.net/assets/public/0865/0912/9eb94c95a8b5/9ddab2a82a46/04174315250-p/04174315250-p.jpg?ts=1776762222717,브이넥 티셔츠,"₩ 19,900",화이트
https://static.zara.net/assets/public/2627/c244/a8fb4fc8a497/bf9183ce0c66/02142260800-a1/02142260800-a1.jpg?ts=1779119927184,브이넥 니트 스웨터,"₩ 59,900",블랙
https://static.zara.net/assets/public/0436/7d58/f9334263aa7b/a0570d399d24/06145054807-p/06145054807-p.jpg?ts=1770974841800,워시드 페이크 플러시 팬츠,"₩ 55,900",콜 그레이
https://static.zara.net/assets/public/060a/5fdf/926646b98165/5a10b4b867ae/04786030250-a3/04786030250-a3.jpg?ts=1774267240098,ZW 컬렉션 100% 린넨 셔츠,"₩ 59,900",화이트
https://static.zara.net/assets/public/94a7/6ce3/2f3f4da08e0f/a8bf3844f545/04365053506-p/04365053506-p.jpg?ts=1777548431510,레이스업 카고 팬츠,"₩ 79,900",라이트 카키
https://static.zara.net/assets/public/012b/a0e2/ab0b4f77ab7c/718b489b6532/01058312942-a1/01058312942-a1.jpg?ts=1778146984729,레이스 포트넥 탑,"₩ 39,900",베이지 핑크
https://static.zara.net/assets/public/91f5/0abb/5ebf4786b5aa/4e951954c5bf/02142133711-a1/02142133711-a1.jpg?ts=1779452280575,버튼 쇼트 슬리브 니트 스웨터,"₩ 55,900",샌드
https://static.zara.net/assets/public/34be/b2e3/ff2c43928e65/d941ffd67789/03641380800-p/03641380800-p.jpg?ts=1775819504207,리브드 스트레이트 팬츠,"₩ 45,900",블랙
https://static.zara.net/assets/public/1dc3/5ae5/f14443a599c7/d2f43d830823/04786151251-p/04786151251-p.jpg?ts=1770214497114,ZW 컬렉션 플루이드 셔츠,"₩ 59,900",스크래치 화이트
https://static.zara.net/assets/public/7c45/724d/0dbf483f8c75/fc7dc15ae6d6/16306710111-p/16306710111-p.jpg?ts=1773233264772,브레이드 스트랩 캔버스 백,"₩ 55,900",라이트 베이지
https://static.zara.net/assets/public/dee7/5e99/d3854b28b19f/6d0e4b62f8c7/09929141800-a2/09929141800-a2.jpg?ts=1780056115849,린넨 스트레이트 팬츠,"₩ 57,900",블랙
https://static.zara.net/assets/public/f13c/77b1/24ef4b69bdb7/9b2e4e6148ea/02952939066-a4/02952939066-a4.jpg?ts=1780042893632,펀칭 자수 패턴 탑,"₩ 57,900",크림 / 네이비
https://static.zara.net/assets/public/b696/92ca/921e4ef4a7ae/280f54993fd3/02756031711-p/02756031711-p.jpg?ts=1779792154823,숏 슬리브 니트 탑,"₩ 49,900",샌드
https://static.zara.net/assets/public/c18d/ca84/6ba24e4eaa44/6a9bd70232ee/09598023800-a1/09598023800-a1.jpg?ts=1777364105340,파인 니트 브이넥 스웨터,"₩ 55,900",블랙
https://static.zara.net/assets/public/9c8f/97d8/71aa453fb461/ee28a0cd0d3f/08228021406-p/08228021406-p.jpg?ts=1778681783984,JEANS Z1975 STRAIGHT 하이웨이스트 롱렝스,"₩ 57,900",라이트 블루
https://static.zara.net/assets/public/a4a2/1bc0/d802458eaaf7/4c74219211e0/08372244710-p/08372244710-p.jpg?ts=1778828853287,벨티드 플리츠 버뮤다 팬츠,"₩ 55,900",베이지
https://static.zara.net/assets/public/5f97/840e/e26340c2bca1/762988918261/08372040746-p/08372040746-p.jpg?ts=1775552301638,셔링 파레오 미디 스커트,"₩ 55,900",라이트 베이지
https://static.zara.net/assets/public/0447/b29b/29364a329bb2/80c67833616f/01099207250-p/01099207250-p.jpg?ts=1779373989059,ZW 컬렉션 스카프 셔츠,"₩ 59,900",화이트
https://static.zara.net/assets/public/9171/5181/afc74ca09792/0be54922673d/00340151406-p/00340151406-p.jpg?ts=1778849407046,린넨 매듭 셔츠,"₩ 49,900",라이트 블루
https://static.zara.net/assets/public/a738/8847/a9134f8aa9e2/985a192c5e46/07770804250-p/07770804250-p.jpg?ts=1780056118006,JEANS Z1975 BARREL 미드라이즈,"₩ 79,900",크림
https://static.zara.net/assets/public/e4bf/fd7e/c8bc4004ae53/e2a145cf6d64/04786032250-p/04786032250-p.jpg?ts=1779791096502,ZW 컬렉션 플루이드 오버사이즈 셔츠,"₩ 59,900",화이트
https://static.zara.net/assets/public/732f/dfdf/223b4f45be41/6aea2565a1c8/01165140800-p/01165140800-p.jpg?ts=1775663740639,레이스 헴라인 스커트 팬츠,"₩ 55,900",블랙
https://static.zara.net/assets/public/1154/f36f/21eb4ce089e7/d6e357feb953/04016922250-a2/04016922250-a2.jpg?ts=1780050881217,새틴 벨티드 쇼트 슬리브 셔츠,"₩ 55,900",화이트
https://static.zara.net/assets/public/2550/2162/ec7849f5b26d/90aca5006ea9/08727022427-p/08727022427-p.jpg?ts=1774606098778,TRF 로우라이즈 와이드 레그 진,"₩ 59,900",미디움 블루
https://static.zara.net/assets/public/9c96/0cb0/a84049abac94/762c07265d43/02893050712-a3/02893050712-a3.jpg?ts=1776870925428,지그재그 오픈워크 니트 재킷,"₩ 59,900",크림
https://static.zara.net/assets/public/6305/ea7f/48cc43f8bdb6/3a881cee08e4/00244003048-a4/00244003048-a4.jpg?ts=1779983415400,스트라이프 니트 탑,"₩ 39,900",화이트-오렌지
https://static.zara.net/assets/public/129e/dd56/f54b42499a75/ee46137f117b/03666116250-p/03666116250-p.jpg?ts=1779372572556,로맨틱 프릴 셔츠,"₩ 57,900",화이트
https://static.zara.net/assets/public/c3ad/b1e0/f75b481a9002/68eb0e60c023/07223038427-e1/07223038427-e1.jpg?ts=1771515965590,SHORTS Z1975 MOM FIT,"₩ 49,900",미디움 블루
https://static.zara.net/assets/public/9dc7/5839/34e3485dafae/8dd740f34f08/05427442070-p/05427442070-p.jpg?ts=1780053050360,플루이드 도트 미디 스커트,"₩ 59,900",크림 / 블랙
https://static.zara.net/assets/public/1b5b/ae57/82fb40b9b5cc/606a1820ccbb/00351103021-p/00351103021-p.jpg?ts=1779966944481,CARAMEL LONDON X ZARA 100% 실크 스커트,"₩ 109,900",프린트
https://static.zara.net/assets/public/188a/a494/b72e4f8192d9/42da8b8f2f55/01511146717-p/01511146717-p.jpg?ts=1779966946218,CARAMEL LONDON X ZARA 스트라이프 리넨 팬츠,"₩ 109,900",초콜렛
https://static.zara.net/assets/public/3376/e533/47a84f15ab94/8d9a87648da1/13614710700-p/13614710700-p.jpg?ts=1779447229450,스트랩 플랫 샌들,"₩ 59,900",브라운
https://static.zara.net/assets/public/72e6/881b/50d04ce1b928/317654803724/02604550250-p/02604550250-p.jpg?ts=1779362834137,ZW 컬렉션 플루이드 미디 스커트,"₩ 89,900",크림
https://static.zara.net/assets/public/1e38/440a/79894a5db847/e25e2df8bd58/05252014406-p/05252014406-p.jpg?ts=1774618472807,JEANS CINTURA DOBLADA TRF 미드라이즈,"₩ 79,900",라이트 블루
https://static.zara.net/assets/public/8750/a099/3e3b495b908d/f386b7a531fe/07223038407-p/07223038407-p.jpg?ts=1772714567517,SHORTS Z1975 MOM FIT,"₩ 49,900",블루
https://static.zara.net/assets/public/ef57/159e/5b5c4116bf0e/ab35b68892df/04387066401-a1/04387066401-a1.jpg?ts=1778849858637,벨티드 큐롯 팬츠,"₩ 57,900",네이비
https://static.zara.net/assets/public/74c3/3559/740e48db86c7/5e84ee52d980/04174179250-p/04174179250-p.jpg?ts=1774871355929,리브드 숏 슬리브 티셔츠,"₩ 21,900",화이트
https://static.zara.net/assets/public/e8af/c14a/5d2846938c46/98e4b15fca9f/06462001104-p/06462001104-p.jpg?ts=1774348014373,스트라이프 반소매 티셔츠,"₩ 29,900",스트라이프
https://static.zara.net/assets/public/a1c7/b3db/b00545529376/cf2c7f3cc306/12304810400-p/12304810400-p.jpg?ts=1779895391451,웨지 샌들,"₩ 79,900",블루
https://static.zara.net/assets/public/86d2/7cdd/fcfc4454957b/b629cff7d74e/03920222712-000-p/03920222712-000-p.jpg?ts=1778668745183,스트라이프 린넨 셔츠,"₩ 55,900",브라운/화이트
https://static.zara.net/assets/public/1439/e5a3/d7db4cc49028/45afdb5892f2/04387521716-a1/04387521716-a1.jpg?ts=1779794651363,쇼트 슬리브 플루이드 셔츠,"₩ 45,900",다크 브라운
https://static.zara.net/assets/public/7019/552d/9bb8492fa606/eeaf0dc12130/08372244730-h1/08372244730-h1.jpg?ts=1778835436653,벨티드 플리츠 버뮤다 팬츠,"₩ 55,900",라이트 브라운
https://static.zara.net/assets/public/ab8e/3e9e/9374459490c6/1560260f7bc7/02082813250-a1/02082813250-a1.jpg?ts=1778081674506,린넨 플루이드 셔츠,"₩ 49,900",화이트
https://static.zara.net/assets/public/1d4a/33c6/fa5e4c4890e6/173db472118f/01255478807-a1/01255478807-a1.jpg?ts=1779440404451,엘라스틱 웨이스트 배기 팬츠,"₩ 59,900",콜 그레이
https://static.zara.net/assets/public/af8d/a8dd/7d9740a3b2c4/a18bc8bb931a/03046474401-a2/03046474401-a2.jpg?ts=1777563315328,하이웨이스트 벨트 버뮤다 팬츠,"₩ 49,900",네이비
https://static.zara.net/assets/public/569a/a93f/1f2142d08700/a5ddb8fbc059/07223038406-p/07223038406-p.jpg?ts=1775575012721,SHORTS Z1975 MOM FIT,"₩ 49,900",라이트 블루
https://static.zara.net/assets/public/7695/79ae/c2974e57bc04/71d9a3e01312/05344016737-p/05344016737-p.jpg?ts=1779371953358,ZW 컬렉션 100% 린넨 끈 탑,"₩ 59,900",브라운 / 토프
https://static.zara.net/assets/public/e100/3be2/68424ea2b400/00ef4966dfbc/02494464450-p/02494464450-p.jpg?ts=1779119938849,ZW 컬렉션 케이프 미디 스커트,"₩ 59,900",베이지
https://static.zara.net/assets/public/7ec8/06ff/b19a4856836e/fdf0206716ac/04387079700-a3/04387079700-a3.jpg?ts=1778230029307,레이어드 미디 스커트,"₩ 49,900",브라운
https://static.zara.net/assets/public/455a/fd20/9ca641838f6a/9a74d66b119e/16832710800-e1/16832710800-e1.jpg?ts=1778081442135,미니 크로스백,"₩ 39,900",블랙
https://static.zara.net/assets/public/d97d/6302/768d4756988c/ba1fcee45828/01478033712-p/01478033712-p.jpg?ts=1779969991847,벌룬 페이퍼백 팬츠,"₩ 59,900",크림
https://static.zara.net/assets/public/2eaa/3fbf/79c644fca2e8/4b812932074d/04786035250-a1/04786035250-a1.jpg?ts=1778168205317,ZW 컬렉션 벌룬 슬리브 셔츠,"₩ 79,900",화이트
https://static.zara.net/assets/public/9450/c7ed/45b84ca59d15/274aeeacf6ec/04387021712-p/04387021712-p.jpg?ts=1772643405233,쇼트 슬리브 플루이드 셔츠,"₩ 45,900",크림
https://static.zara.net/assets/public/b6b3/5766/031a40dbbfe0/2a2fd0a0a302/02142132620-p/02142132620-p.jpg?ts=1772465840675,버튼 니트 스웨터,"₩ 59,900",로즈핑크
https://static.zara.net/assets/public/df89/ef70/da5b4c3999e6/9f277f8e18ad/06929484406-a2/06929484406-a2.jpg?ts=1779440424491,루즈핏 포켓 쇼트 점프수트,"₩ 59,900",라이트 블루
https://static.zara.net/assets/public/e958/b80c/544c4018ab7f/0e1fc2e5c5c1/00252784400-p/00252784400-p.jpg?ts=1779966937193,카라멜 런던 X 자라 크리에이티드 체크 스커트,"₩ 109,900",블루
https://static.zara.net/assets/public/9740/7546/2a234bb58645/76f1ede0bb79/04745039080-p/04745039080-p.jpg?ts=1778681686145,깅엄 체크 테일러드 미디 원피스,"₩ 55,900",크림 / 블루
https://static.zara.net/assets/public/0c36/1960/25564179b503/e62e42f5e343/02347664250-p/02347664250-p.jpg?ts=1779372566380,펀칭 자수 미디 스커트,"₩ 79,900",화이트
https://static.zara.net/assets/public/f0f7/2155/b62547abb9e6/14a3a33c78f6/05107301696-a3/05107301696-a3.jpg?ts=1777030588060,자수 캐미솔 원피스,"₩ 79,900",살구
https://static.zara.net/assets/public/af95/c133/c2d149fa901c/25178b7c44f6/03067834819-a2/03067834819-a2.jpg?ts=1778500362199,플루이드 크롭 재킷,"₩ 59,900",블루 그레이
https://static.zara.net/assets/public/d411/5c5c/00d74f098bf6/3ac212dfc51f/01416035800-p/01416035800-p.jpg?ts=1775575011933,Z1975 크로스 데님 스커트 팬츠,"₩ 49,900",블랙
https://static.zara.net/assets/public/8af9/e6de/fc15471e8113/afb943599493/04174184250-a1/04174184250-a1.jpg?ts=1743002407646,워시드 숏 슬리브 티셔츠,"₩ 21,900",화이트
https://static.zara.net/assets/public/8581/2acd/46ce406e8aaf/05992a8e62e8/12343710111-p/12343710111-p.jpg?ts=1773247392817,비닐 웨지 샌들,"₩ 59,900",라이트 베이지
https://static.zara.net/assets/public/ce96/fa9a/3e81405cb1f2/06afb8abb6f2/00858016250-p/00858016250-p.jpg?ts=1775717916932,100% 코튼 버튼 티셔츠,"₩ 39,900",화이트
https://static.zara.net/assets/public/3262/1126/118741dd86cb/7b9b9845f035/01934041427-a3/01934041427-a3.jpg?ts=1778228832793,JEANS Z1975 STRAIGHT 하이웨이스트,"₩ 55,900",미디움 블루
https://static.zara.net/assets/public/9579/aaee/aa1e400aa8e1/5593942bceb0/01934041250-a3/01934041250-a3.jpg?ts=1778228828303,JEANS Z1975 STRAIGHT 하이웨이스트,"₩ 55,900",화이트
https://static.zara.net/assets/public/1c98/1f3c/8efd45788558/f8b3965a8853/04043242737-p/04043242737-p.jpg?ts=1779722151906,ZW 컬렉션 린넨 미디 스커트,"₩ 79,900",브라운 / 토프
https://static.zara.net/assets/public/0c99/b97a/deb741148445/419d705d8df9/02142519250-p/02142519250-p.jpg?ts=1779371851302,쇼트 슬리브 니트 폴로셔츠,"₩ 45,900",화이트
https://static.zara.net/assets/public/459b/8170/d68044b19a32/b30c7b401432/01058311727-p/01058311727-p.jpg?ts=1778499534336,버튼 라운드넥 티셔츠,"₩ 35,900",바닐라
https://static.zara.net/assets/public/6c25/d08a/94c44869a182/b8028c34f5e5/05039395712-p/05039395712-p.jpg?ts=1779286625394,크롭 텍스처 재킷,"₩ 35,900",크림
https://static.zara.net/assets/public/8748/70e6/c55541fba630/89662fa67a95/00858101250-p/00858101250-p.jpg?ts=1779377094309,린넨 혼방 버튼 라운드넥 티셔츠,"₩ 49,900",화이트
https://static.zara.net/assets/public/9c7f/fe06/bebb4834ae5b/3fe1dd49fc56/05344010619-p/05344010619-p.jpg?ts=1774008323600,ZW 컬렉션 린넨 포켓 셔츠,"₩ 79,900",라이트 제비꽃
https://static.zara.net/assets/public/dabd/e521/4e1144d794ff/493ab2942bae/01208930982-000-p/01208930982-000-p.jpg?ts=1779446906536,ZW 컬렉션 언밸런스 플루이드 스커트,"₩ 89,900",화이트
https://static.zara.net/assets/public/2c70/5f76/15be4867a100/75cd319cedcf/05919002942-a1/05919002942-a1.jpg?ts=1778601342304,ZW 컬렉션 란제리 레이스 탑,"₩ 89,900",베이지 핑크
https://static.zara.net/assets/public/06a9/476f/92a446118025/1c8e6057b9c4/03581007064-a1/03581007064-a1.jpg?ts=1779969898274,스트라이프 리본 니트 탑,"₩ 45,900",화이트 / 블랙
https://static.zara.net/assets/public/c450/19ae/3ff34f328b72/5103390f50f5/13313810800-ult37/13313810800-ult37.jpg?ts=1779960747750,도트 패턴 보우 디테일 뮬,"₩ 57,900",블랙
https://static.zara.net/assets/public/db48/71bd/b0d04aadb327/8713a58ae233/04387091711-a1/04387091711-a1.jpg?ts=1779806276176,벨티드 스트레이트 팬츠,"₩ 59,900",샌드
https://static.zara.net/assets/public/3fff/9c97/82044d3bba86/4be1cfb0cf30/00541018406-p/00541018406-p.jpg?ts=1774016262731,배색 레더 샌들,"₩ 59,900",레드
https://static.zara.net/assets/public/e5b4/c000/d1af44049387/324fe54b3ff1/12638710107-p/12638710107-p.jpg?ts=1779447462010,플랫폼 힐 샌들,"₩ 59,900",샌드 브라운
https://static.zara.net/assets/public/1199/2d24/b2d440f08f94/66fb0663285e/04192077250-p/04192077250-p.jpg?ts=1779372577328,프릴 반소매 니트 재킷,"₩ 55,900",화이트
https://static.zara.net/assets/public/2cd9/34ce/36ec4284b5a6/463d3d14bb4f/01255478644-a1/01255478644-a1.jpg?ts=1779440404595,엘라스틱 웨이스트 배기 팬츠,"₩ 59,900",라이트 로즈
https://static.zara.net/assets/public/f106/fe49/a7b948b6839e/fa9cfd887712/07969037700-p/07969037700-p.jpg?ts=1778491722728,레이스 란제리 탑,"₩ 55,900",브라운
https://static.zara.net/assets/public/8177/00d5/f3f64d849028/b3cbdab1a231/03046099250-p/03046099250-p.jpg?ts=1777390116153,플리츠 하이웨이스트 버뮤다 팬츠,"₩ 49,900",화이트
